FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4500000,0,0,0,0,0,0,5406,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0.2,990,0,0,0,0,0,4,0,0,0,Brighton,Liverpool,Southampton,Crystal Palace,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,SWA,5500000,0,14,3.5,6.36363636363636E-07,2.54545454545455E-06,0,91091,0,4,0,0,0,1,0,2.5,488,0,0,14,0,0.5,0,3,2,0,2,0,0,3.8,138793,0,0,0,0,329,587,0,0,33,Watford,West Ham,Huddersfield,Leicester,Arsenal,1.8,4.3,1.8,3,4.1,2.5,4.9,3.5,4.2,4.3,1.9,1.8,4.7,3.1,3.7,5,1.8,4.1,3.2,3.8,4.5,2.1,4.8,5,3.8,1.8,3.9,4.4,2.6,4.2,1.8,5,3,17.6
Charlie,Adam,MID,STK,4900000,0,0,0,0,0,0,3033,0,0,0,0,0,0,0,0,13,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,616,0,0,0,0,0,8,0,0,0,Chelsea,Southampton,Man City,Bournemouth,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adam Smith,DEF,BOU,4900000,2,5,1,2.04081632653061E-07,1.02040816326531E-06,0,19757,1,8,0,0,0,0,0,1,53,-1,0,5,1,0.2,0,1,0,0,0,0,0,0.7,1282,0,0,0,1,370,8,0,0,53,Everton,Leicester,Tottenham,Stoke,Chelsea,0.5,0.7,0.9,0.5,0.6,0.5,0.8,0.8,0.5,0.6,1.1,0.5,0.9,0.5,1.4,0.6,0.5,0.8,0.5,0.5,1,0.5,0.6,0.5,0.6,0.9,0.9,1.5,0.5,0.5,0.5,0.5,0.5,9.9
,Adrian,GLK,WHU,4400000,0,0,0,0,0,0,7293,0,0,0,0,0,0,0,0,25,-1,0,0,1,0,0,0,0,0,0,0,0,0.4,658,0,0,0,0,0,4,0,0,0,Tottenham,Swansea,Burnley,Brighton,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibrahim,Afellay,MID,STK,4900000,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,Chelsea,Southampton,Man City,Bournemouth,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benik,Afobe,FWD,BOU,5800000,1,5,0.333333333333333,5.74712643678161E-08,8.62068965517241E-07,0,20230,0,1,0,0,0,0,0,0.9,48,-2,0,5,2,0.1,0,0.8,0,0,0,0,0,0.3,2002,0,0,0,0,154,15,0,0,12,Everton,Leicester,Tottenham,Stoke,Chelsea,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,9.2
Sergio,Aguero,FWD,MCI,11400000,0,21,5.3,4.64912280701754E-07,1.84210526315789E-06,0,239316,0,1,0,0,0,2,0,1.8,392,-1,0,21,1,0.3,0,3,3,0,2,0,1,10.1,160797,0,0,0,0,286,723,0,0,84,Crystal Palace,Chelsea,Stoke,Burnley,West Brom,7.5,6.1,8,7.1,6.3,8,6.2,5.4,6.2,8,5.6,8,4.9,8,5.9,6.6,4.6,5.3,6,6.7,7.1,8,5.8,6,6.1,7.4,6.6,6.1,7.8,4.9,5.5,6.4,6.7,37.8
Nathan,Ake,DEF,BOU,5000000,2,7,1.4,2.8E-07,1.4E-06,0,160076,1,9,0,0,0,0,0,1.4,464,0,0,7,0,0.2,0,1,1,0,0,0,0,5,23902,0,0,0,0,450,86,0,0,77,Everton,Leicester,Tottenham,Stoke,Chelsea,0.7,1.1,1.5,0.7,1,0.7,1.4,1.4,1,1.1,1.5,0.7,1.5,0.7,2.1,1.1,0.8,1.4,0.7,0.7,1.6,0.7,1.1,0.7,1.1,1.5,1.4,2.1,0.7,0.9,0.8,0.8,0.7,15.1
Marc,Albrighton,MID,LEI,5500000,0,10,2.5,4.54545454545455E-07,1.81818181818182E-06,0,66379,0,5,0,0,0,0,0,1.8,292,0,0,10,0,0.2,0,1.3,0,0,1,0,1,2.6,100118,0,0,0,0,281,76,0,0,39,Liverpool,Bournemouth,West Brom,Swansea,Everton,3.4,1.6,2.4,3.5,3.7,1.2,2.3,1.2,1.7,2.7,2.1,1.9,3.5,1.9,2.1,1.2,2.7,1.8,1.7,2.4,2.5,1.4,3.1,3.4,1.4,3.8,1.2,3,1.9,2.5,2.2,3.8,2.3,11.7
