FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4400000,0,0,0,0,0,0,7830,0,0,0,0,0,0,0,0,456,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,2901,0,0,0,0,0,603,0,0,0,Southampton,Crystal Palace,Burnley,Bournemouth,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,SWA,5600000,2,26,3.7,6.60714285714286E-07,4.64285714285714E-06,0,156043,0,6,0,0,0,2,0,4.6,12867,1,0,26,-1,0.6,0,3.5,5,0,3,0,0,5.8,306896,0,0,0,0,535,30466,0,0,77,Huddersfield,Leicester,Arsenal,Brighton,Burnley,2.5,3.4,2.6,4.2,4.4,4,4.3,4.7,3.2,2,4.7,4.1,3.8,5.3,1.8,3.8,4,4.4,4.1,2.4,4.2,4.2,4,2.1,3.3,4,4.2,3.7,1.8,4.6,4.2,30.4
Charlie,Adam,MID,STK,4800000,0,0,0,0,0,0,4146,0,0,0,0,0,0,0,0,182,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,1211,0,0,0,0,0,86,0,0,0,Man City,Bournemouth,Watford,Leicester,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adam Smith,DEF,BOU,4800000,6,12,1.7,3.54166666666667E-07,2.5E-06,0,25917,1,10,0,0,0,0,0,2.5,563,-2,1,12,2,0.5,0,2.5,0,0,1,0,0,0.6,1744,0,0,0,0,550,177,-1,0,95,Tottenham,Stoke,Chelsea,Newcastle,Huddersfield,1.4,0.8,1.1,0.8,1.5,1.2,1.2,1.3,2,0.8,1.7,0.8,2.1,1.4,1,2.1,0.8,1.1,1.6,1.1,1.5,0.8,1,1.8,1.6,2.4,0.8,1,1.4,1,1.1,16.2
,Adrian,GLK,WHU,4400000,0,0,0,0,0,0,9778,0,0,0,0,0,0,0,0,322,-1,0,0,1,0,0,0,0,0,0,0,0,0.4,1164,0,0,0,0,0,75,0,0,0,Burnley,Brighton,Crystal Palace,Liverpool,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibrahim,Afellay,MID,STK,4900000,1,2,0.0952380952380952,1.94363459669582E-08,4.08163265306122E-07,0,690,0,2,0,0,0,0,0,0.4,43,-1,0,2,1,0.1,0,0.5,0,0,0,0,0,0,381,0,0,0,0,17,84,0,0,6,Man City,Bournemouth,Watford,Leicester,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
Benik,Afobe,FWD,BOU,5700000,1,7,0.333333333333333,5.84795321637427E-08,1.2280701754386E-06,0,24111,0,3,0,0,0,0,0,1.2,474,-3,0,7,3,0.1,0,0.8,0,0,0,0,0,0.2,2718,0,0,0,0,177,110,0,0,20,Tottenham,Stoke,Chelsea,Newcastle,Huddersfield,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,10.1
Sergio,Aguero,FWD,MCI,11500000,0,52,8.7,7.56521739130435E-07,4.52173913043478E-06,0,1276522,0,1,0,0,0,6,0,4.5,150273,0,1,52,0,0.9,0,10,8,0,4,0,3,8.4,1065952,0,0,0,1,466,3115,-1,0,219,Stoke,Burnley,West Brom,Arsenal,Leicester,0,0,0,0,0,11.8,10.1,13,10.3,13,8.7,12.4,11.2,11.9,9.7,10.5,12.2,12.2,12.5,12.2,8.6,9.3,11,13,11,11,13,9.8,10.1,11.2,13,80
Nathan,Ake,DEF,BOU,4900000,9,17,2.4,4.89795918367347E-07,3.46938775510204E-06,0,209683,1,11,0,0,0,0,0,3.5,3926,-1,0,17,1,0.7,0,3.3,4,0,1,0,0,4.1,28846,0,0,0,0,622,1458,0,0,120,Tottenham,Stoke,Chelsea,Newcastle,Huddersfield,2.4,1.5,1.9,1.4,2.5,2.1,2.2,2.2,2.9,1.2,2.8,1.2,3.3,2.4,1.8,3.3,1.2,2,2.7,1.9,2.5,1.2,1.8,2.9,2.7,3.4,1.2,1.8,2.4,1.7,1.9,20.1
Marc,Albrighton,MID,LEI,5500000,3,16,2.3,4.18181818181818E-07,2.90909090909091E-06,0,99310,1,9,0,0,0,0,0,2.9,3848,0,0,16,0,0.3,0,1.8,0,0,2,0,1,2.1,108394,0,0,0,0,498,1285,0,0,64,West Brom,Swansea,Everton,Stoke,Man City,2.1,2.6,2.9,1.2,1.3,1.2,1.3,1.8,1.4,1.9,2.5,1.4,1.8,1.2,1.9,1.9,1.3,1.9,2.2,1.2,2.2,2.8,1.2,3.4,1.2,2.4,1.6,1.7,2,3.1,1.8,21.1
Toby,Alderweireld,DEF,TOT,6000000,6,27,3.9,6.5E-07,4.5E-06,0,208584,3,5,0,0,0,0,0,4.5,14213,0,0,27,0,0.8,0,4.5,2,0,4,0,0,12.6,121004,0,0,0,0,630,2770,0,0,146,Bournemouth,Liverpool,Man Utd,Crystal Palace,Arsenal,3.6,3.9,3.5,4.1,3.1,4.1,3.7,5.8,3.7,4.7,3.9,5.3,2.9,4.7,5.5,3.1,5.8,2.3,4,4.7,5.8,3.4,4.5,3.4,5.4,4.5,2,5.1,2.8,5.1,2.7,22
Trent,Alexander-Arnold,DEF,LIV,4400000,0,1,0.0476190476190476,1.08225108225108E-08,2.27272727272727E-07,0,110476,2,8,0,0,0,0,0,0.2,4664,-1,0,1,1,0.1,0,0.3,0,0,0,0,0,1.6,64254,0,0,0,0,270,422,0,0,38,Man Utd,Tottenham,Huddersfield,West Ham,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7
Joe,Allen,MID,STK,5300000,1,16,2.3,4.33962264150943E-07,3.0188679245283E-06,0,105512,3,11,0,0,0,0,0,3,4732,-2,1,16,2,0.5,0,2.8,1,0,1,0,1,2.3,14428,0,0,0,0,623,624,-1,0,84,Man City,Bournemouth,Watford,Leicester,Brighton,1.2,2.8,1.7,2.5,1.2,2,2.3,2.2,1.8,1.6,3.1,2.2,1.4,1.8,2.4,1.2,2,1.3,1.6,2.4,1.4,1.9,1.3,3,1.2,1.3,1.2,1.8,1.2,2.6,2.6,26.5
